locus_tag	ftype	length_bp	gene	EC_number	COG	product
53965_StreptomycesisolateR1_03869	CDS	531				hypothetical protein
53965_StreptomycesisolateR1_03870	CDS	744				hypothetical protein
53965_StreptomycesisolateR1_03871	CDS	519	gbpA_2			GlcNAc-binding protein A
53965_StreptomycesisolateR1_03872	CDS	807	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
53965_StreptomycesisolateR1_03873	CDS	1092				hypothetical protein
53965_StreptomycesisolateR1_03874	CDS	1506	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
53965_StreptomycesisolateR1_03875	CDS	393	cueR_1		COG0789	HTH-type transcriptional regulator CueR
53965_StreptomycesisolateR1_03876	CDS	393				hypothetical protein
53965_StreptomycesisolateR1_03877	CDS	1083		3.4.11.25		Beta-peptidyl aminopeptidase BapA
53965_StreptomycesisolateR1_03878	CDS	759				hypothetical protein
53965_StreptomycesisolateR1_03879	CDS	837		3.1.1.10		Tropinesterase
53965_StreptomycesisolateR1_03880	CDS	831	cpo_2	1.11.1.10		Non-heme chloroperoxidase
53965_StreptomycesisolateR1_03881	CDS	978				hypothetical protein
53965_StreptomycesisolateR1_03882	CDS	819	viuB_1		COG2375	Vibriobactin utilization protein ViuB
53965_StreptomycesisolateR1_03883	CDS	2304		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
53965_StreptomycesisolateR1_03884	CDS	1935				hypothetical protein
53965_StreptomycesisolateR1_03885	CDS	1044	cytR_3		COG1609	HTH-type transcriptional repressor CytR
53965_StreptomycesisolateR1_03886	CDS	828	lacG_2			Lactose transport system permease protein LacG
53965_StreptomycesisolateR1_03887	CDS	942	lacF_9			Lactose transport system permease protein LacF
53965_StreptomycesisolateR1_03888	CDS	1290				hypothetical protein
53965_StreptomycesisolateR1_03889	CDS	900	cobB_2	3.5.1.-	COG0846	NAD-dependent protein deacetylase
53965_StreptomycesisolateR1_03890	CDS	831				hypothetical protein
53965_StreptomycesisolateR1_03891	CDS	990				hypothetical protein
53965_StreptomycesisolateR1_03892	CDS	1080	lsrB_2			Autoinducer 2-binding protein LsrB
53965_StreptomycesisolateR1_03893	CDS	1419	mdtD_3			Putative multidrug resistance protein MdtD
53965_StreptomycesisolateR1_03894	CDS	447				hypothetical protein
53965_StreptomycesisolateR1_03895	CDS	1383				hypothetical protein
53965_StreptomycesisolateR1_03896	CDS	1299				hypothetical protein
53965_StreptomycesisolateR1_03897	CDS	1056				hypothetical protein
53965_StreptomycesisolateR1_03898	CDS	399				hypothetical protein
53965_StreptomycesisolateR1_03899	CDS	858	ybgK		COG1984	Uncharacterized protein YbgK
53965_StreptomycesisolateR1_03900	CDS	723				hypothetical protein
53965_StreptomycesisolateR1_03901	CDS	789				UPF0271 protein TTHB195
53965_StreptomycesisolateR1_03902	CDS	720				hypothetical protein
53965_StreptomycesisolateR1_03903	CDS	975				hypothetical protein
53965_StreptomycesisolateR1_03904	CDS	651	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
53965_StreptomycesisolateR1_03905	CDS	1026				hypothetical protein
53965_StreptomycesisolateR1_03906	CDS	171	rpmF_1			50S ribosomal protein L32
53965_StreptomycesisolateR1_03907	CDS	1329				hypothetical protein
53965_StreptomycesisolateR1_03908	CDS	624				hypothetical protein
53965_StreptomycesisolateR1_03909	CDS	945	pdxI_2	1.1.1.65		Pyridoxine 4-dehydrogenase
53965_StreptomycesisolateR1_03910	CDS	564				hypothetical protein
53965_StreptomycesisolateR1_03911	CDS	837		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
53965_StreptomycesisolateR1_03912	CDS	231				hypothetical protein
53965_StreptomycesisolateR1_03913	CDS	981				hypothetical protein
53965_StreptomycesisolateR1_03914	CDS	144				hypothetical protein
53965_StreptomycesisolateR1_03915	CDS	1017				hypothetical protein
53965_StreptomycesisolateR1_03916	CDS	990	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
53965_StreptomycesisolateR1_03917	CDS	654				hypothetical protein
53965_StreptomycesisolateR1_03918	CDS	2223	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
53965_StreptomycesisolateR1_03919	CDS	747				hypothetical protein
53965_StreptomycesisolateR1_03920	CDS	540				hypothetical protein
53965_StreptomycesisolateR1_03921	CDS	363				hypothetical protein
53965_StreptomycesisolateR1_03922	CDS	897	sigJ_3			ECF RNA polymerase sigma factor SigJ
53965_StreptomycesisolateR1_03923	CDS	603				hypothetical protein
53965_StreptomycesisolateR1_03924	CDS	384				hypothetical protein
53965_StreptomycesisolateR1_03925	CDS	240				hypothetical protein
53965_StreptomycesisolateR1_03926	CDS	747	cypM	2.1.1.301		Cypemycin N-terminal methyltransferase
53965_StreptomycesisolateR1_03927	CDS	1044				hypothetical protein
53965_StreptomycesisolateR1_03928	CDS	675				hypothetical protein
53965_StreptomycesisolateR1_03929	CDS	816				hypothetical protein
53965_StreptomycesisolateR1_03930	CDS	435				hypothetical protein
53965_StreptomycesisolateR1_03931	CDS	816				hypothetical protein
53965_StreptomycesisolateR1_03932	CDS	1338	hemL_2	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
53965_StreptomycesisolateR1_03933	tRNA	86				tRNA-Pro(cgg)
53965_StreptomycesisolateR1_03934	CDS	1233				hypothetical protein
53965_StreptomycesisolateR1_03935	CDS	948				hypothetical protein
53965_StreptomycesisolateR1_03936	CDS	1299				hypothetical protein
53965_StreptomycesisolateR1_03937	CDS	1275			COG4310	Putative polysaccharide biosynthesis protein with aminopeptidase-like domain
53965_StreptomycesisolateR1_03938	CDS	1026	fcl	1.1.1.271		GDP-L-fucose synthase
53965_StreptomycesisolateR1_03939	CDS	648				hypothetical protein
53965_StreptomycesisolateR1_03940	CDS	810	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
53965_StreptomycesisolateR1_03941	CDS	1218				hypothetical protein
53965_StreptomycesisolateR1_03942	CDS	1245	cotSA	2.4.-.-	COG0438	Spore coat protein SA
53965_StreptomycesisolateR1_03943	CDS	1233				hypothetical protein
53965_StreptomycesisolateR1_03944	CDS	1545				hypothetical protein
53965_StreptomycesisolateR1_03945	CDS	1962				hypothetical protein
53965_StreptomycesisolateR1_03946	CDS	2187	iolG_4	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
53965_StreptomycesisolateR1_03947	CDS	1935	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
53965_StreptomycesisolateR1_03948	CDS	1563				hypothetical protein
53965_StreptomycesisolateR1_03949	CDS	1368				hypothetical protein
53965_StreptomycesisolateR1_03950	CDS	1284	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
53965_StreptomycesisolateR1_03951	CDS	1326	algD	1.1.1.132	COG1004	GDP-mannose 6-dehydrogenase
53965_StreptomycesisolateR1_03952	CDS	1479	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
53965_StreptomycesisolateR1_03953	CDS	849				hypothetical protein
53965_StreptomycesisolateR1_03954	CDS	780	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
53965_StreptomycesisolateR1_03955	CDS	1047	dap_3	3.4.11.19		D-aminopeptidase
53965_StreptomycesisolateR1_03956	CDS	1416	mdtL			Multidrug resistance protein MdtL
53965_StreptomycesisolateR1_03957	CDS	1032	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
53965_StreptomycesisolateR1_03958	CDS	1683	phoD_2	3.1.3.1	COG3540	Alkaline phosphatase D
53965_StreptomycesisolateR1_03959	CDS	822	hcaB_5	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
53965_StreptomycesisolateR1_03960	CDS	327				hypothetical protein
53965_StreptomycesisolateR1_03961	CDS	543				hypothetical protein
53965_StreptomycesisolateR1_03962	CDS	339				hypothetical protein
53965_StreptomycesisolateR1_03963	CDS	1017	xynD			Bifunctional xylanase/deacetylase
53965_StreptomycesisolateR1_03964	CDS	1014	xlnB	3.2.1.8		Endo-1,4-beta-xylanase B
53965_StreptomycesisolateR1_03965	CDS	978				hypothetical protein
53965_StreptomycesisolateR1_03966	CDS	1338				hypothetical protein
53965_StreptomycesisolateR1_03967	CDS	828	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
53965_StreptomycesisolateR1_03968	CDS	1404	yhjE_1			Inner membrane metabolite transport protein YhjE
53965_StreptomycesisolateR1_03969	CDS	2040				hypothetical protein
53965_StreptomycesisolateR1_03970	CDS	645				hypothetical protein
53965_StreptomycesisolateR1_03971	CDS	981				hypothetical protein
53965_StreptomycesisolateR1_03972	CDS	609	rhaR			HTH-type transcriptional activator RhaR
53965_StreptomycesisolateR1_03973	CDS	576				hypothetical protein
53965_StreptomycesisolateR1_03974	CDS	762				hypothetical protein
53965_StreptomycesisolateR1_03975	CDS	615				hypothetical protein
53965_StreptomycesisolateR1_03976	CDS	783				hypothetical protein
53965_StreptomycesisolateR1_03977	CDS	663	eda		COG0800	KHG/KDPG aldolase
53965_StreptomycesisolateR1_03978	CDS	1209			COG0328	Bifunctional protein Rv2228c
53965_StreptomycesisolateR1_03979	CDS	591			COG1579	Uncharacterized protein Rv2229c
53965_StreptomycesisolateR1_03980	CDS	870			COG0327	GTP cyclohydrolase 1 type 2 homolog
53965_StreptomycesisolateR1_03981	CDS	1323				hypothetical protein
53965_StreptomycesisolateR1_03982	CDS	168				hypothetical protein
53965_StreptomycesisolateR1_03983	CDS	915				hypothetical protein
53965_StreptomycesisolateR1_03984	CDS	960	drrA_11	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
53965_StreptomycesisolateR1_03985	CDS	717				hypothetical protein
53965_StreptomycesisolateR1_03986	CDS	1218				hypothetical protein
53965_StreptomycesisolateR1_03987	CDS	633	desR_3		COG2197	Transcriptional regulatory protein DesR
53965_StreptomycesisolateR1_03988	CDS	1437	stp_5			Multidrug resistance protein Stp
53965_StreptomycesisolateR1_03989	CDS	1761	mdtD_4			Putative multidrug resistance protein MdtD
53965_StreptomycesisolateR1_03990	CDS	681				hypothetical protein
53965_StreptomycesisolateR1_03991	CDS	978				hypothetical protein
53965_StreptomycesisolateR1_03992	CDS	846				hypothetical protein
53965_StreptomycesisolateR1_03993	CDS	288				hypothetical protein
53965_StreptomycesisolateR1_03994	CDS	1089				hypothetical protein
53965_StreptomycesisolateR1_03995	CDS	735	ubiE_4	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
53965_StreptomycesisolateR1_03996	CDS	1398	mshA_6	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
53965_StreptomycesisolateR1_03997	CDS	762				hypothetical protein
53965_StreptomycesisolateR1_03998	CDS	1257				hypothetical protein
53965_StreptomycesisolateR1_03999	CDS	663				hypothetical protein
53965_StreptomycesisolateR1_04000	CDS	1239				hypothetical protein
53965_StreptomycesisolateR1_04001	CDS	1698	ykoD_2	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
53965_StreptomycesisolateR1_04002	CDS	852				hypothetical protein
53965_StreptomycesisolateR1_04003	CDS	465				hypothetical protein
53965_StreptomycesisolateR1_04004	CDS	780	yurK_2		COG2188	Uncharacterized HTH-type transcriptional regulator YurK
53965_StreptomycesisolateR1_04005	CDS	1311	entS_3			Enterobactin exporter EntS
53965_StreptomycesisolateR1_04006	CDS	1002	cdhR_7		COG4977	HTH-type transcriptional regulator CdhR
53965_StreptomycesisolateR1_04007	CDS	591				hypothetical protein
53965_StreptomycesisolateR1_04008	CDS	435				hypothetical protein
53965_StreptomycesisolateR1_04009	CDS	849				hypothetical protein
53965_StreptomycesisolateR1_04010	CDS	279				hypothetical protein
53965_StreptomycesisolateR1_04011	CDS	2229				hypothetical protein
53965_StreptomycesisolateR1_04012	CDS	447				hypothetical protein
53965_StreptomycesisolateR1_04013	CDS	690				hypothetical protein
53965_StreptomycesisolateR1_04014	CDS	1656				hypothetical protein
53965_StreptomycesisolateR1_04015	CDS	2190				hypothetical protein
53965_StreptomycesisolateR1_04016	CDS	1395	proP_2			Proline/betaine transporter
53965_StreptomycesisolateR1_04017	CDS	573				hypothetical protein
53965_StreptomycesisolateR1_04018	CDS	672		2.1.1.-	COG4122	Putative O-methyltransferase MSMEG_5073/MSMEI_4947
53965_StreptomycesisolateR1_04019	CDS	393				hypothetical protein
53965_StreptomycesisolateR1_04020	CDS	417				hypothetical protein
53965_StreptomycesisolateR1_04021	CDS	543				hypothetical protein
53965_StreptomycesisolateR1_04022	CDS	735				hypothetical protein
53965_StreptomycesisolateR1_04023	CDS	1467				hypothetical protein
53965_StreptomycesisolateR1_04024	CDS	567				hypothetical protein
53965_StreptomycesisolateR1_04025	CDS	2112	mdtD_5			Putative multidrug resistance protein MdtD
53965_StreptomycesisolateR1_04026	CDS	1224				hypothetical protein
53965_StreptomycesisolateR1_04027	CDS	666	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
53965_StreptomycesisolateR1_04028	CDS	582	mneA			Putative manganese exporter
53965_StreptomycesisolateR1_04029	CDS	645				hypothetical protein
53965_StreptomycesisolateR1_04030	CDS	1758				hypothetical protein
53965_StreptomycesisolateR1_04031	CDS	462				hypothetical protein
53965_StreptomycesisolateR1_04032	CDS	639				hypothetical protein
53965_StreptomycesisolateR1_04033	CDS	234				hypothetical protein
53965_StreptomycesisolateR1_04034	CDS	534				hypothetical protein
53965_StreptomycesisolateR1_04035	CDS	357				hypothetical protein
53965_StreptomycesisolateR1_04036	tRNA	75				tRNA-Val(tac)
53965_StreptomycesisolateR1_04037	CDS	771				hypothetical protein
53965_StreptomycesisolateR1_04038	CDS	1404				hypothetical protein
53965_StreptomycesisolateR1_04039	CDS	645	nreC_7		COG2197	Oxygen regulatory protein NreC
53965_StreptomycesisolateR1_04040	CDS	1143				hypothetical protein
53965_StreptomycesisolateR1_04041	CDS	843				hypothetical protein
53965_StreptomycesisolateR1_04042	CDS	813				hypothetical protein
53965_StreptomycesisolateR1_04043	CDS	2574				hypothetical protein
53965_StreptomycesisolateR1_04044	CDS	1167				hypothetical protein
53965_StreptomycesisolateR1_04045	CDS	1002				hypothetical protein
53965_StreptomycesisolateR1_04046	CDS	738				hypothetical protein
53965_StreptomycesisolateR1_04047	CDS	1143				hypothetical protein
53965_StreptomycesisolateR1_04048	CDS	576	yceD_2		COG2310	General stress protein 16U
53965_StreptomycesisolateR1_04049	CDS	576	yceD_3		COG2310	General stress protein 16U
53965_StreptomycesisolateR1_04050	CDS	459	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
53965_StreptomycesisolateR1_04051	CDS	438				Uncharacterized protein Rv2239c
53965_StreptomycesisolateR1_04052	CDS	2757	aceE_2	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
53965_StreptomycesisolateR1_04053	CDS	1611	stp_6			Multidrug resistance protein Stp
53965_StreptomycesisolateR1_04054	CDS	684				hypothetical protein
53965_StreptomycesisolateR1_04055	CDS	1221				hypothetical protein
53965_StreptomycesisolateR1_04056	CDS	888				hypothetical protein
53965_StreptomycesisolateR1_04057	CDS	1014	iolS_3	1.1.1.-	COG0667	Aldo-keto reductase IolS
53965_StreptomycesisolateR1_04058	CDS	498				hypothetical protein
53965_StreptomycesisolateR1_04059	CDS	468				hypothetical protein
53965_StreptomycesisolateR1_04060	CDS	822				hypothetical protein
53965_StreptomycesisolateR1_04061	CDS	660		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase Rv0181c
53965_StreptomycesisolateR1_04062	CDS	1206			COG2508	Uncharacterized protein Rv2242
53965_StreptomycesisolateR1_04063	CDS	927	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
53965_StreptomycesisolateR1_04064	CDS	1032	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
53965_StreptomycesisolateR1_04065	CDS	249	acpM		COG0236	Meromycolate extension acyl carrier protein
53965_StreptomycesisolateR1_04066	CDS	1290	fabF_2	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
53965_StreptomycesisolateR1_04067	CDS	495				hypothetical protein
53965_StreptomycesisolateR1_04068	CDS	912				hypothetical protein
53965_StreptomycesisolateR1_04069	CDS	972	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
53965_StreptomycesisolateR1_04070	CDS	1260				Uncharacterized protein PA0049
53965_StreptomycesisolateR1_04071	CDS	825	cysZ		COG2981	Sulfate transporter CysZ
53965_StreptomycesisolateR1_04072	CDS	420	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
53965_StreptomycesisolateR1_04073	CDS	1023	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
53965_StreptomycesisolateR1_04074	CDS	444	nicR_1		COG1846	HTH-type transcriptional repressor NicR
53965_StreptomycesisolateR1_04075	CDS	756				hypothetical protein
53965_StreptomycesisolateR1_04076	CDS	1167	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
53965_StreptomycesisolateR1_04077	CDS	1017	neoA	1.1.1.329		2-deoxy-scyllo-inosamine dehydrogenase
53965_StreptomycesisolateR1_04078	CDS	972				hypothetical protein
53965_StreptomycesisolateR1_04079	CDS	1110	sbpA			Multiple sugar-binding periplasmic protein SbpA
53965_StreptomycesisolateR1_04080	CDS	1578	xylG	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
53965_StreptomycesisolateR1_04081	CDS	1245	xylH_2		COG4214	Xylose transport system permease protein XylH
53965_StreptomycesisolateR1_04082	CDS	1149	mro_2	5.1.3.3	COG2017	Aldose 1-epimerase
53965_StreptomycesisolateR1_04083	CDS	1662	hisC_2	2.6.1.9		Histidinol-phosphate aminotransferase
53965_StreptomycesisolateR1_04084	CDS	1308				hypothetical protein
53965_StreptomycesisolateR1_04085	CDS	765				hypothetical protein
53965_StreptomycesisolateR1_04086	CDS	549				hypothetical protein
53965_StreptomycesisolateR1_04087	CDS	738				hypothetical protein
53965_StreptomycesisolateR1_04088	CDS	525				hypothetical protein
53965_StreptomycesisolateR1_04089	CDS	1287				hypothetical protein
53965_StreptomycesisolateR1_04090	CDS	1158				hypothetical protein
53965_StreptomycesisolateR1_04091	CDS	1035				hypothetical protein
53965_StreptomycesisolateR1_04092	CDS	1053				hypothetical protein
53965_StreptomycesisolateR1_04093	CDS	1065				hypothetical protein
53965_StreptomycesisolateR1_04094	CDS	1257				hypothetical protein
53965_StreptomycesisolateR1_04095	CDS	807				hypothetical protein
53965_StreptomycesisolateR1_04096	CDS	765	mlaE		COG0767	Probable phospholipid ABC transporter permease protein MlaE
53965_StreptomycesisolateR1_04097	CDS	1011	mkl		COG1127	Probable ribonucleotide transport ATP-binding protein mkl
53965_StreptomycesisolateR1_04098	CDS	633				hypothetical protein
53965_StreptomycesisolateR1_04099	CDS	1644				hypothetical protein
53965_StreptomycesisolateR1_04100	CDS	942				hypothetical protein
53965_StreptomycesisolateR1_04101	CDS	1212				hypothetical protein
53965_StreptomycesisolateR1_04102	CDS	969	abnA	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 1
53965_StreptomycesisolateR1_04103	CDS	1569				hypothetical protein
53965_StreptomycesisolateR1_04104	CDS	654				hypothetical protein
53965_StreptomycesisolateR1_04105	CDS	2757				hypothetical protein
53965_StreptomycesisolateR1_04106	CDS	1506	abfA	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
53965_StreptomycesisolateR1_04107	CDS	864	araQ_8		COG0395	L-arabinose transport system permease protein AraQ
53965_StreptomycesisolateR1_04108	CDS	960	lacF_10			Lactose transport system permease protein LacF
53965_StreptomycesisolateR1_04109	CDS	1359				hypothetical protein
53965_StreptomycesisolateR1_04110	CDS	546				hypothetical protein
53965_StreptomycesisolateR1_04111	CDS	1185				hypothetical protein
53965_StreptomycesisolateR1_04112	CDS	1212				hypothetical protein
53965_StreptomycesisolateR1_04113	CDS	1410		1.14.13.-		Putative epoxidase LasC
53965_StreptomycesisolateR1_04114	CDS	861		3.1.1.99		6-deoxy-6-sulfogluconolactonase
53965_StreptomycesisolateR1_04115	CDS	774	kdgR_2		COG1414	Transcriptional regulator KdgR
53965_StreptomycesisolateR1_04116	CDS	600				hypothetical protein
53965_StreptomycesisolateR1_04117	CDS	1251				hypothetical protein
53965_StreptomycesisolateR1_04118	CDS	1260	purD_2	6.3.4.13		Phosphoribosylamine--glycine ligase
53965_StreptomycesisolateR1_04119	CDS	705	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
53965_StreptomycesisolateR1_04120	CDS	360	ytcD_2		COG1733	Uncharacterized HTH-type transcriptional regulator YtcD
53965_StreptomycesisolateR1_04121	CDS	807	menH_4	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
53965_StreptomycesisolateR1_04122	CDS	423	malT			HTH-type transcriptional regulator MalT
53965_StreptomycesisolateR1_04123	CDS	1068	pat_2	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
53965_StreptomycesisolateR1_04124	CDS	1350	aroA_2	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
53965_StreptomycesisolateR1_04125	CDS	498	hsaB	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
53965_StreptomycesisolateR1_04126	CDS	1242	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
53965_StreptomycesisolateR1_04127	CDS	1095				hypothetical protein
53965_StreptomycesisolateR1_04128	CDS	1317				hypothetical protein
53965_StreptomycesisolateR1_04129	CDS	753				hypothetical protein
53965_StreptomycesisolateR1_04130	CDS	858		4.3.2.3		Ureidoglycolate lyase
53965_StreptomycesisolateR1_04131	CDS	2241				hypothetical protein
53965_StreptomycesisolateR1_04132	CDS	873				hypothetical protein
53965_StreptomycesisolateR1_04133	CDS	477				hypothetical protein
53965_StreptomycesisolateR1_04134	CDS	1083	ydgJ	1.-.-.-	COG0673	Uncharacterized oxidoreductase YdgJ
53965_StreptomycesisolateR1_04135	CDS	1344	nanK_2	2.7.1.60		N-acetylmannosamine kinase
53965_StreptomycesisolateR1_04136	CDS	246				hypothetical protein
53965_StreptomycesisolateR1_04137	CDS	780	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
53965_StreptomycesisolateR1_04138	CDS	555				hypothetical protein
53965_StreptomycesisolateR1_04139	CDS	750				hypothetical protein
53965_StreptomycesisolateR1_04140	CDS	1044	cenA	3.2.1.4	COG5297	Endoglucanase A
53965_StreptomycesisolateR1_04141	CDS	1938				hypothetical protein
53965_StreptomycesisolateR1_04142	CDS	2016				hypothetical protein
53965_StreptomycesisolateR1_04143	tRNA	75				tRNA-Lys(ctt)
53965_StreptomycesisolateR1_04144	CDS	1089				hypothetical protein
53965_StreptomycesisolateR1_04145	CDS	1206				hypothetical protein
53965_StreptomycesisolateR1_04146	CDS	606	gbpA_3		COG3397	GlcNAc-binding protein A
53965_StreptomycesisolateR1_04147	tRNA	75				tRNA-Lys(ctt)
53965_StreptomycesisolateR1_04148	CDS	759				hypothetical protein
53965_StreptomycesisolateR1_04149	CDS	786	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
53965_StreptomycesisolateR1_04150	CDS	651	tcyB		COG0765	L-cystine transport system permease protein TcyB
53965_StreptomycesisolateR1_04151	CDS	702	artQ		COG0765	Arginine transport system permease protein ArtQ
53965_StreptomycesisolateR1_04152	CDS	798	tcyA		COG0834	L-cystine-binding protein TcyA
53965_StreptomycesisolateR1_04153	CDS	630				hypothetical protein
53965_StreptomycesisolateR1_04154	CDS	498				hypothetical protein
53965_StreptomycesisolateR1_04155	CDS	1383	aam_2	3.5.1.13	COG0154	Acylamidase
53965_StreptomycesisolateR1_04156	CDS	978	ghrA	1.1.1.79		Glyoxylate/hydroxypyruvate reductase A
53965_StreptomycesisolateR1_04157	CDS	903	maiA_1	5.2.1.1		Maleate isomerase
53965_StreptomycesisolateR1_04158	CDS	732	maiA_2	5.2.1.1		Maleate isomerase
53965_StreptomycesisolateR1_04159	tRNA	71				tRNA-Gly(tcc)
53965_StreptomycesisolateR1_04160	CDS	1563				hypothetical protein
53965_StreptomycesisolateR1_04161	CDS	348				hypothetical protein
53965_StreptomycesisolateR1_04162	tRNA	75				tRNA-Lys(ctt)
53965_StreptomycesisolateR1_04163	CDS	1305				hypothetical protein
53965_StreptomycesisolateR1_04164	CDS	1941				hypothetical protein
53965_StreptomycesisolateR1_04165	CDS	1101				hypothetical protein
53965_StreptomycesisolateR1_04166	CDS	567	yyaP_2		COG0262	Uncharacterized protein YyaP
53965_StreptomycesisolateR1_04167	CDS	747	nimR_1			HTH-type transcriptional regulator NimR
53965_StreptomycesisolateR1_04168	CDS	1197	fsr			Fosmidomycin resistance protein
53965_StreptomycesisolateR1_04169	CDS	366	ehpR			Phenazine antibiotic resistance protein EhpR
53965_StreptomycesisolateR1_04170	CDS	978				hypothetical protein
53965_StreptomycesisolateR1_04171	CDS	1428	mhbT			3-hydroxybenzoate transporter MhbT
53965_StreptomycesisolateR1_04172	CDS	1488	betB_3	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
53965_StreptomycesisolateR1_04173	CDS	996				hypothetical protein
53965_StreptomycesisolateR1_04174	CDS	801	nadX	1.4.1.21		L-aspartate dehydrogenase
53965_StreptomycesisolateR1_04175	CDS	813	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
53965_StreptomycesisolateR1_04176	CDS	522				hypothetical protein
53965_StreptomycesisolateR1_04177	CDS	768	pldh-t	1.1.1.107		Pyridoxal 4-dehydrogenase
53965_StreptomycesisolateR1_04178	CDS	792	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
53965_StreptomycesisolateR1_04179	CDS	1632	ilvG_2	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
53965_StreptomycesisolateR1_04180	CDS	945	pobB_2	1.-.-.-		Phenoxybenzoate dioxygenase subunit beta
53965_StreptomycesisolateR1_04181	CDS	228				hypothetical protein
53965_StreptomycesisolateR1_04182	CDS	1029				hypothetical protein
53965_StreptomycesisolateR1_04183	CDS	552				hypothetical protein
53965_StreptomycesisolateR1_04184	CDS	1362				hypothetical protein
53965_StreptomycesisolateR1_04185	CDS	1644				hypothetical protein
53965_StreptomycesisolateR1_04186	CDS	1065				hypothetical protein
53965_StreptomycesisolateR1_04187	CDS	1014				hypothetical protein
53965_StreptomycesisolateR1_04188	CDS	597	gpm2_2	3.1.3.2	COG0406	Acid phosphatase
53965_StreptomycesisolateR1_04189	CDS	1449				hypothetical protein
53965_StreptomycesisolateR1_04190	CDS	381				hypothetical protein
53965_StreptomycesisolateR1_04191	CDS	873	speE_3	2.5.1.16		Polyamine aminopropyltransferase
53965_StreptomycesisolateR1_04192	CDS	576				hypothetical protein
53965_StreptomycesisolateR1_04193	CDS	705	mprA_4		COG0745	Response regulator MprA
53965_StreptomycesisolateR1_04194	CDS	1437				hypothetical protein
53965_StreptomycesisolateR1_04195	CDS	1500				hypothetical protein
53965_StreptomycesisolateR1_04196	CDS	1464		3.2.1.21		Bifunctional beta-D-glucosidase/beta-D-fucosidase
53965_StreptomycesisolateR1_04197	CDS	918	lacG_3			Lactose transport system permease protein LacG
53965_StreptomycesisolateR1_04198	CDS	1011	lacF_11			Lactose transport system permease protein LacF
53965_StreptomycesisolateR1_04199	CDS	1326				hypothetical protein
